,,shortName,totalDebt,totalRevenue,revenueGrowth,operatingMargins,beta,regularMarketPrice,currency,industry,sector,country,longBusinessSummary
FFBC,quote_summary,First Financial Bancorp.,832972992,601067008,0.209,0.38429,1.209782,24.28,USD,Banks—Regional,Financial Services,United States,"First Financial Bancorp. operates as the bank holding company for First Financial Bank that provides commercial banking and related services to individuals and businesses in Ohio, Indiana, Kentucky, and Illinois. The company accepts various deposit products, such as interest-bearing and noninterest-bearing accounts, time deposits, and cash management services for commercial customers. It also provides real estate loans secured by residential property, such as one to four family residential housing units or commercial property comprising owner-occupied and/or investor income producing real estate consisting of apartments, shopping centers, or office buildings; commercial and industrial loans for various purposes, including inventory, receivables, and equipment; consumer loans comprising new and used vehicle loans, second mortgages on residential real estate, and unsecured loans; and home equity lines of credit. In addition, the company offers commercial financing to the insurance industry, registered investment advisors, certified public accountants, indirect auto finance companies, and restaurant franchisees. Further, it provides a range of trust and wealth management services; and lease and equipment financing services. As of December 31, 2020, the company operated 143 full service banking centers, 32 of which are leased facilities. It operates 63 banking centers in Ohio, three banking centers in Illinois, 63 banking centers in Indiana, and 14 banking centers in Kentucky. First Financial Bancorp. was founded in 1863 and is headquartered in Cincinnati, Ohio."
AMRC,quote_summary,"Ameresco, Inc.",873150016,1032275008,0.025,0.07026,0.453392,78.0917,USD,Engineering & Construction,Industrials,United States,"Ameresco, Inc. provides comprehensive energy services for businesses and organizations in the United States, Canada, and internationally. It offers energy efficiency, infrastructure upgrades, energy security and resilience, asset sustainability, and renewable energy solutions. The company operates through U.S. Regions, U.S. Federal, Canada, and Non-Solar Distributed Generation segments. It designs, develops, engineers, and installs projects that reduce the energy, as well as operations and maintenance costs of customers' facilities. The company's projects primarily include various measures customized for the facility and designed to enhance the efficiency of building systems, such as heating, ventilation, cooling, and lighting systems. It also offers renewable energy products and services, such as the construction of small-scale plants for customers that produce electricity, gas, heat, or cooling from renewable sources of energy; and sells electricity and processed renewable gas fuel, heat, or cooling. In addition, the company provides integrated- photovoltaic (PV) and consulting, and enterprise energy management services; sells solar PV energy products and systems; and owns and operates a wind power project located in Ireland. It serves federal, state, and local governments, as well as healthcare and educational institutions, airports, public housing authorities and public universities, and commercial and industrial customers. As of December 31, 2020, the company owned and operated 130 small-scale renewable energy plants and solar PV installations. Ameresco, Inc. was founded in 2000 and is headquartered in Framingham, Massachusetts."
SAGE,quote_summary,"Sage Therapeutics, Inc.",22717000,1113496960,-0.308,0.59191,2.016304,42.98,USD,Biotechnology,Healthcare,United States,"Sage Therapeutics, Inc., a biopharmaceutical company, develops and commercializes medicines to treat central nervous system disorders. Its lead product candidate is ZULRESSO, an intravenous formulation of brexanolone for the treatment of postpartum depression (PPD) in adults. The company's product pipeline also includes zuranolone, a neuroactive steroid, which is in Phase III clinical trials for treating PPD, major depressive disorders, bipolar depression, and generalized anxiety disorders; and SAGE-324, a compound that is in Phase II clinical trial to treat essential tremors, as well as has completed Phase I clinical trial for epilepsy and Parkinson's diseases. In addition, its product pipeline comprises SAGE-718, an oxysterol-based positive allosteric modulator of the NMDA receptor, which has completed Phase I clinical trial for the treatment of depression, Huntington's disease, Alzheimer's disease, attention deficit hyperactivity disorder, schizophrenia, and neuropathic pain. Sage Therapeutics, Inc. has a strategic collaboration with Shionogi & Co., Ltd. for the development and commercialization of zuranolone in Japan, Taiwan, and South Korea; and a collaboration and license agreement with Biogen MA Inc. to jointly develop and commercialize SAGE-217 and SAGE-324 products. The company was formerly known as Sterogen Biopharma, Inc. and changed its name to Sage Therapeutics, Inc. in September 2011. Sage Therapeutics, Inc. was incorporated in 2010 and is headquartered in Cambridge, Massachusetts."
EXPI,quote_summary,"eXp World Holdings, Inc.",3836000,3303522048,0.969,0.01224,3.10909,36.45,USD,Real Estate Services,Real Estate,United States,"eXp World Holdings, Inc. provides cloud-based real estate brokerage services for residential homeowners and homebuyers. The company facilitates buyers to search real-time property listings and sellers to list their properties through its various platforms; and provides buyers and sellers with access to a network of professionals, consumer-centric agents, and brokers. It is also involved in building 3D virtual worlds for work, education, and events; and focused on agent website and consumer real estate portal technology. In addition, the company operates SUCCESS print magazine, SUCCESS.com portal, SUCCESS newsletters, podcasts, digital training courses, and affiliated social media accounts across platforms. Further, it provides marketing, training, and other support services to its brokers and agents through proprietary technology enabled services, as well as technology and support services contracted to third parties. The company operates in the United States, Canada, the United Kingdom, Australia, South Africa, India, Portugal, France, Mexico, Puerto Rico, Brazil, Italy, Hong Kong, Colombia, Spain, Israel, Panama, and internationally. The company was formerly known as eXp Realty International Corporation and changed its name to eXp World Holdings, Inc. in May 2016. eXp World Holdings, Inc. was incorporated in 2008 and is based in Bellingham, Washington."
BANR,quote_summary,Banner Corporation,609689984,548273024,0.315,0.36596,1.116847,61.23,USD,Banks—Regional,Financial Services,United States,"Banner Corporation operates as the bank holding company for Banner Bank that provide commercial banking and financial products and services to individuals, businesses, and public sector entities in the United States. It accepts various deposit instruments, including interest-bearing and non-interest-bearing checking accounts, money market deposit accounts, regular savings accounts, and certificates of deposit, as well as treasury management services and retirement savings plans. The company also provides commercial real estate loans, including owner-occupied, investment properties, and multifamily residential real estate loans; construction, land, and land development loans; residential mortgage loans; commercial business loans; agricultural loans; and consumer and other loans, such as home equity lines of credit, automobile, and boat and recreational vehicle loans, as well as loans secured by deposit accounts. In addition, it engages in the mortgage banking operations through the origination and sale of one-to four-family and multi-family residential loans, as well as small business administration loans. Further, the company provides electronic and digital banking services. As of December 31, 2020, it operated 155 branch offices, including 152 Banner Bank branches and three Islanders Bank branches located in Washington, Oregon, California, and Idaho. It also operates 18 Banner Bank loan production offices located in Washington, Oregon, California, Idaho, and Utah. Banner Corporation was founded in 1890 and is headquartered in Walla Walla, Washington."
CCS,quote_summary,"Century Communities, Inc.",1250384000,3997289984,0.206,0.1424,1.987301,80.64,USD,Residential Construction,Consumer Cyclical,United States,"Century Communities, Inc., together with its subsidiaries, engages in the design, development, construction, marketing, and sale of single-family attached and detached homes. It is also involved in the entitlement and development of the underlying land; and provision of mortgage, title, and insurance services to its home buyers. The company offers homes under the Century Communities and Century Complete brands. It sells homes through its sales representatives, as well as through independent real estate brokers in 17 states in the United States. Century Communities, Inc. was founded in 2002 and is headquartered in Greenwood Village, Colorado."
VRRM,quote_summary,Verra Mobility Corporation,1004049024,366737984,-0.23,0.06309,1.624789,15.35,USD,Security & Protection Services,Industrials,United States,"Verra Mobility Corporation provides smart mobility technology solutions and services in the United States, Canada, and Europe. It operates through two segments, Government Solutions and Commercial Services. The Government Solutions segment offers automated safety solutions, including services and technologies that enable photo enforcement through road safety camera programs, which detects and process traffic violations related to red light, speed, school bus, and city bus lanes. This segment serves municipalities, counties, school districts, and law enforcement agencies. The Commercial Services segment provides automated toll and violations management, and title and registration solutions to rental car companies, fleet management companies, and other large fleet owners. The company was incorporated in 2016 and is headquartered in Mesa, Arizona."
ZUO,quote_summary,"Zuora, Inc.",62309000,335332992,0.155,-0.23682,2.207501,19.48,USD,Software—Infrastructure,Technology,United States,"Zuora, Inc., together with its subsidiaries, provides cloud-based software on a subscription basis that enables companies in various industries to launch, manage, and transform into a subscription business. The company offers Zuora Central platform that acts as an intelligent subscription management hub that allows customers to order-to-revenue operations. Its products include Zuora Billing for subscription billing; Zuora Revenue, a revenue recognition automation solution; Zuora CPQ for configuring deals, pricing, and quoting in a subscription business; Zuora Collect designed to handle the complicated function of collections associated with subscription-based businesses; and Zuora Marketplace. It sells its products through its direct sales force, global systems integrators, management consulting firms, resellers, technology, and ecosystem partners. Zuora, Inc. was incorporated in 2006 and is headquartered in Redwood City, California."
MDRX,quote_summary,Allscripts Healthcare Solutions,512571008,1494098048,0.012,0.01652,1.072486,18.37,USD,Health Information Services,Healthcare,United States,"Allscripts Healthcare Solutions, Inc., together with its subsidiaries, provides information technology solutions and services to healthcare organizations in the United States, Canada, and internationally. It offers electronic health records (EHR), information connectivity, private cloud hosting, outsourcing, analytics, patient access, and population health management solutions. The company operates in two segments: The Core Clinical and Financial Solutions; and The Data, Analytics and Care Coordination. The Core Clinical and Financial Solutions segment provides software applications for patient engagement, and integrated clinical and financial management solutions, which primarily include EHR-related software; and financial and practice management software solutions, as well as related installation, support and maintenance, outsourcing, private cloud hosting, and revenue cycle management services. The Data, Analytics and Care Coordination segment offers practice reimbursement, and payer and life sciences solutions, which are primarily targeted at physician practices, payers, life sciences companies, and other healthcare stakeholders. Its solutions enable clients to transition, analyze, and coordinate care and enhance the healthcare delivery across the care community. The company serves physicians, hospitals, governments, health systems, health plans, life-sciences companies, retail clinics, retail pharmacies, pharmacy benefit managers, insurance companies, and employer wellness clinics, as well as post-acute organizations, such as home health and hospice agencies. Allscripts Healthcare Solutions, Inc. was founded in 1986 and is headquartered in Chicago, Illinois."
TTGT,quote_summary,"TechTarget, Inc.",222442000,198844000,0.831,0.16353,0.860807,98.35,USD,Internet Content & Information,Communication Services,United States,"TechTarget, Inc., together with its subsidiaries, provides marketing and sales services that deliver business impact for enterprise technology companies in North America and internationally. It also provides purchase-intent marketing and sales services for enterprise technology vendors; and customized marketing programs that integrate demand generation and brand advertising techniques. The company offers online services, including IT Deal Alert, including priority engine, qualified sales opportunities, deal data services; demand solutions, such as white papers, webcasts, podcasts, videocasts, virtual trade shows, and content sponsorships; brand solutions comprise on-network, off-network, and microsites and related formats branding; and custom content creation. It also operates an integrated content platform that consists of a network of approximately 140 websites that focus on a specific IT sector, such as storage, security, networking, or business applications. In addition, the company enables registered members to conduct their pre-purchase research by accessing vendor supplied content through a websites network. TechTarget, Inc. was incorporated in 1999 and is headquartered in Newton, Massachusetts."
ESE,quote_summary,ESCO Technologies Inc.,216104992,715440000,-0.001,0.114659995,1.061298,86.14,USD,Scientific & Technical Instruments,Technology,United States,"ESCO Technologies Inc. produces and supplies engineered products and systems for industrial and commercial markets worldwide. It operates through Aerospace & Defense, Utility Solutions Group, and RF Shielding and Test segments. The Aerospace & Defense segment designs and manufactures filtration products, including hydraulic filter elements and fluid control devices used in commercial aerospace applications; filter mechanisms used in micro-propulsion devices for satellites; and custom designed filters for manned aircraft and submarines. It also designs, develops, and manufactures elastomeric-based signature reduction solutions for U.S. naval vessels; and mission-critical bushings, pins, sleeves, and precision-tolerance machined components for landing gear, rotor heads, engine mounts, flight controls, and actuation systems for the aerospace and defense industries. The Utility Solutions Group segment provides diagnostic testing solutions that enable electric power grid operators to assess the integrity of high-voltage power delivery equipment; and decision support tools for the renewable energy industry, primarily wind and solar. The RF Shielding and Test segment designs and manufactures RF test and secure communication facilities, acoustic test enclosures, RF and magnetically shielded rooms, RF measurement systems, and broadcast and recording studios; and RF absorptive materials and filters, active compensation systems, antennas, antenna masts, turntables, electric and magnetic probes, RF test cells, proprietary measurement software, and other test accessories to perform various tests. It also provides services, such as calibration for antennas and field probes, chamber certification, field surveys, customer training, and various product tests. The company distributes its products through a network of distributors, sales representatives, direct sales teams, and in-house sales personnel. The company was incorporated in 1990 and is based in St. Louis, Missouri."
MNR,quote_summary,Monmouth Real Estate Investment,1084413952,182756000,0.098,0.4921,0.752207,20.95,USD,REIT—Industrial,Real Estate,United States,"Monmouth Real Estate Investment Corporation, founded in 1968, is one of the oldest public equity REITs in the world. We specialize in single tenant, net-leased industrial properties, subject to long-term leases, primarily to investment-grade tenants. Monmouth Real Estate is a fully integrated and self-managed real estate company, whose property portfolio consists of 121 properties, containing a total of approximately 24.5 million rentable square feet, geographically diversified across 31 states. Our occupancy rate as of this date is 99.7%."
UI,quote_summary,Ubiquiti Inc.,532302016,1898093952,0.515,0.39123002,1.378306,311.4,USD,Communication Equipment,Technology,United States,"Ubiquiti Inc. develops networking technology for service providers, enterprises, and consumers. It develops technology platforms for high-capacity distributed Internet access, unified information technology, and consumer electronics for professional, home, and personal use. Its service provider product platforms offer carrier-class network infrastructure for fixed wireless broadband, wireless backhaul systems, and routing; and enterprise product platforms provide wireless LAN infrastructure, video surveillance products, switching and routing solutions, security gateways, and other WLAN products, as well as consumer products under the Ubiquiti Labs brand name. The company also provides technology platforms, such as airMAX, which include proprietary protocols that contain technologies for minimizing signal noise; EdgeMAX, a software and system routing platform; airFiber, a point-to-point radio system; and UFiber GPON, a plug and play fiber network technology to build high speed fiber internet networks. In addition, it offers UniFi -Enterprise WLAN, an enterprise Wi-Fi system that allows for on-site and remote management through the cloud; UniFi Protect, a video surveillance system, which provides statistical reporting and advanced analytics; UniFi Switch that deliver performance, switching, and power of Ethernet support for enterprise networks; UniFi Console, an enterprise class router and security gateway device; and UniFi Access, a door access system. Further, offers base stations, radios, backhaul equipment, and customer premise equipment; embedded radio products; antennas; and mounting brackets, cables, and power over Ethernet adapters. It serves customers through a network of approximately 100 distributors, online retailers, and direct to customers worldwide. The company was formerly known as Ubiquiti Networks, Inc. and changed its name to Ubiquiti Inc. in August 2019. Ubiquiti Inc. was incorporated in 2003 and is headquartered in New York, New York."
CIVI,quote_summary,"Civitas Resources, Inc.",,,,,,48.795,USD,,,,
NPO,quote_summary,EnPro Industries Inc,499800000,1122200064,0.209,0.08849,1.632096,110.25,USD,Specialty Industrial Machinery,Industrials,United States,"EnPro Industries, Inc. engages in the design, development, manufacture, marketing, and service of engineered industrial products worldwide. It operates through three segments: Sealing Technologies, Advanced Surface Technologies, and Engineered Materials. The Sealing Technologies segment offers single-use hygienic seals, tubing, components and assemblies; metallic, non-metallic, and composite material gaskets; compression packing products; hydraulic components; expansion joints; pipeline casing spacers/isolators; and dynamic, flange, resilient metal, elastomeric, and custom-engineered mechanical seals for chemical and petrochemical processing, pulp and paper processing, power generation, food and pharmaceutical processing, primary metal manufacturing, mining, water and waste treatment, heavy-duty trucking, aerospace, medical, filtration, and semiconductor fabrication industries. This segment also provides aseptic fluid transfer products for the pharmaceutical and biopharmaceutical industries. The Advanced Surface Technologies segment offers cleaning, coating, testing, refurbishment, and verification services for critical components and assemblies used in semiconductor manufacturing equipment, as well as for critical applications in the space, aerospace, and defense markets; and specialized optical filters and thin-film coatings for various applications in the industrial technology, life sciences, and semiconductor markets. The Engineered Materials segment provides self-lubricating, non-rolling, metal polymer, engineered plastics, and fiber reinforced composite bearing products; and precision engineered components and lubrication systems for reciprocating compressors. This segment's products has applications in the automotive, pharmaceutical, pulp and paper, natural gas, health, power generation, machine tools, air treatment, refining, petrochemical, and general industrial markets. The company was incorporated in 2002 and is headquartered in Charlotte, North Carolina."
B,quote_summary,"Barnes Group, Inc.",632457024,1236971008,0.208,0.11886,1.196883,46.31,USD,Specialty Industrial Machinery,Industrials,United States,"Barnes Group Inc. provides engineered products, industrial technologies, and solutions in the United States and internationally. It operates in two segments: Industrial and Aerospace. The Industrial segment offers precision components, products, and systems used by various customers in end-markets, such as transportation, industrial equipment, automation, personal care, packaging, electronics, and medical devices. This segment also designs and manufactures hot runner systems, mold cavity sensors and process control systems, and precision high cavitation mold assemblies for injection molding applications; provides force and motion control solutions for various metal forming and other industrial markets; and designs and develops robotic grippers, end-of-arm tooling systems, sensors, and other automation components for intelligent robotic handling solutions and industrial automation applications. In addition, it manufactures and supplies precision mechanical products, including mechanical springs, and high-precision punched and fine-blanked components used in transportation and industrial applications, including mechanical springs, and high-precision punched and fine-blanked components. This segment sells its products primarily through its direct sales force and distribution channels. The Aerospace segment produces fabricated and precision machined components and assemblies for turbine engines; and nacelles and structures for commercial and defense-related aircraft. It also provides aircraft engine component maintenance, repair, and overhaul services for turbine engine manufacturers, commercial airlines, and defense market; and manufactures and delivers aerospace aftermarket spare parts. This segment serves original equipment manufacturing industry. The company was founded in 1857 and is based in Bristol, Connecticut."
LNTH,quote_summary,"Lantheus Holdings, Inc.",177863008,389798016,0.153,0.00638,1.300259,29.38,USD,Diagnostics & Research,Healthcare,United States,"Lantheus Holdings, Inc. develops, manufactures, and commercializes diagnostic and therapeutic agents and products that assist clinicians in the diagnosis and treatment of heart, cancer, and other diseases worldwide. It provides DEFINITY, a microbubble ultrasound enhancing agent used in ultrasound exams of the heart; TechneLite, a technetium generator for nuclear medicine; Xenon-133 to assess pulmonary function; Neurolite to identify the area within the brain where blood flow has been blocked or reduced due to stroke; Cardiolite, an injectable Tc-99m-labeled imaging agent; and RELISTOR for opioid-induced constipation. The company also offers AZEDRA, a radiotherapeutic to treat adult and pediatric patients; Automated Bone Scan Index that calculates the disease burden of prostate cancer by quantifying the hotspots on bone scans; and Cobalt (Co 57), a non-pharmaceutical radiochemical. It provides Thallium-201 to detect cardiovascular disease; Gallium-67 to detect various infections and cancerous tumors; and Quadramet for severe bone pain associated with osteoblastic metastatic bone lesions. The company also develops PyL for prostate cancer; flurpiridaz F 18 to assess blood flow to the heart; 1095, a PSMA-targeted iodine-131 labeled small molecule; LMI 1195 for neuroendocrine tumors; PSMA TTC, a thorium-227 labeled PSMA-targeted antibody therapeutic; 1404, a Tc-99m labeled small molecule; PSMA-AI, an AI-based imaging analysis technology; and leronlimab, an investigational humanized monoclonal antibody. It serves radiopharmacies, PET manufacturing facilities, integrated delivery networks, hospitals, clinics, and group practices. The company has strategic partnerships with NanoMab Technology Limited; Bausch Health Companies, Inc.; GE Healthcare Limited; Curium; Bayer AG; CytoDyn Inc.; ROTOP; FUJIFILM Toyama Chemical Co. Ltd.; Regeneron Pharmaceuticals, Inc.; and POINT Biopharma US Inc. The company was founded in 1956 and is headquartered in North Billerica, Massachusetts."
SKYW,quote_summary,"SkyWest, Inc.",3279378944,2238675968,0.877,-0.1153,1.957671,41.23,USD,Airlines,Industrials,United States,"SkyWest, Inc., through its subsidiaries, operates a regional airline in the United States. The company operates through two segment, SkyWest Airlines and SkyWest Leasing. It also leases regional jet aircraft and spare engines to third parties. As of December 31, 2020, the company's fleet consisted of 601 aircraft; and provided scheduled passenger and air freight services with approximately 1,700 total daily departures to various destinations in the United States, Canada, Mexico, and the Caribbean. In addition, it provides airport customer and ground handling services for other airlines. SkyWest, Inc. was incorporated in 1972 and is headquartered in St. George, Utah."
PRGS,quote_summary,Progress Software Corporation,593822976,513569984,0.344,0.24221,1.248908,48.02,USD,Software—Application,Technology,United States,"Progress Software Corporation develops business applications. The company operates through three segments: OpenEdge, Data Connectivity and Integration, and Application Development and Deployment. The OpenEdge segment offers Progress OpenEdge, a development software, which builds multi-language applications for secure deployment across various platforms and devices, as well as cloud; Progress Corticon, a business rules management system that enables applications with decision automation and change process, and decision-related insight capabilities; Progress Kinvey, a platform for building enterprise applications; MOVEit that provides secure collaboration and automated file transfers of critical business information; and WhatsUp Gold, a network monitoring solution. The Data Connectivity and Integration segment provides Progress DataDirect Connect, which offers data connectivity using industry-standard interfaces to connect applications running on various platforms; and Progress DataDirect Hybrid Data Pipeline, a data access service that provides cloud and on-premises data sources for hybrid cloud applications, such as customer resource management, data management platforms, or hosted analytics. The Application Development and Deployment segment offers Developer Tools, a set of components for user interface development; and Sitefinity, a web content management and customer analytics platform. The company also provides project management, implementation, custom development, programming, and other services, as well as services to web-enable applications; and training services. It sells its products to end users, independent software vendors, original equipment manufacturers, and system integrators. The company has operations in North America, Latin America, Europe, the Middle East, Africa, and the Asia Pacific. Progress Software Corporation was founded in 1981 and is headquartered in Bedford, Massachusetts."
PHR,quote_summary,"Phreesia, Inc.",11964000,197020992,0.454,-0.39655,1.393641,43.295,USD,Health Information Services,Healthcare,United States,"Phreesia, Inc. provides an integrated SaaS-based software and payment platform for the healthcare industry in the United States and Canada. Its Phreesia Platform offers a suite of solutions to manage the patient intake process, as well as an integrated payments solution for processing of patient payments. The company deploys its platform in a range of modalities, such as Phreesia Mobile, a patients' mobile device; Phreesia Dashboard, a Web-based dashboard for providers; PhreesiaPads, which are self-service intake tablets; and Arrivals Kiosks that are on-site kiosks. Its Phreesia Platform also provides a registration solution to automate patient self-registration; revenue cycle solution, which offer insurance-verification processes, point-of-sale payments applications, and cost estimation tools; appointments solution for online appointments, reminders, and referral tracking; and patient activation solution that enables providers to communicate with their patients through surveys, announcements, messaging, and health campaigns. In addition, the company's Phreesia Platform offers clinical support solution, which collects clinical intake and PRO data for approximately 25 specialties; and life sciences solution to deliver targeted and clinically relevant marketing content to patients, as well as COVID-19 product offerings for managing COVID-19 vaccine delivery and identify vaccine-hesitant patients, screening for self-reported COVID-19 risk factors, enabling contactless check-in during in-person visits, and collecting intake information during telehealth visits. It serves patients; single-specialty practices, multi-specialty groups, and health systems; and pharmaceutical, medical device, and biotechnology companies. The company was founded in 2005 and is headquartered in Raleigh, North Carolina."
OLPX,quote_summary,"Olaplex Holdings, Inc.",,,,,,26.12,USD,,,,
HMHC,quote_summary,Houghton Mifflin Harcourt Compa,461392992,1118077056,0.427,-0.020399999,1.376091,16.33,USD,Education & Training Services,Consumer Defensive,United States,"Houghton Mifflin Harcourt Company, a learning company, provides curriculum, supplemental, intervention solutions, and professional learning services worldwide. The company operates in two segments, Education and HMH Books & Media. The Education segment provides educational products, technology platforms, and services, including print and digital content in the form of textbooks, digital courseware, instructional aids, educational assessment, and intervention solutions for students. The HMH Books & Media segment develops, markets, and sells consumer books in print and digital formats, as well as licenses book rights to other publishers and electronic businesses; and reference materials, such as fiction and non-fiction books, dictionaries, and other reference works to schools, colleges, libraries, office supply distributors, and other businesses. This segment distributes products through retail stores comprising physical and online, and wholesalers. The company was formerly known as HMH Holdings (Delaware), Inc. and changed its name to Houghton Mifflin Harcourt Company in October 2013. Houghton Mifflin Harcourt Company was founded in 1832 and is headquartered in Boston, Massachusetts."
RIOT,quote_summary,"Riot Blockchain, Inc",8300000,65298000,16.687,0.00392,4.495767,25.215,USD,Software—Application,Technology,United States,"Riot Blockchain, Inc., together with its subsidiaries, focuses on cryptocurrency mining operation in North America. The company primarily focuses on bitcoin mining. As of December 31, 2020, it operated a fleet of 7,043 miners. The company was formerly known as Bioptix, Inc. and changed its name to Riot Blockchain, Inc. in October 2017. Riot Blockchain, Inc. was incorporated in 2000 and is based in Castle Rock, Colorado."
JAMF,quote_summary,Jamf Holding Corp.,28054000,290228992,0.344,-0.026819998,,39.38,USD,Software—Application,Technology,United States,"Jamf Holding Corp. offers a cloud software platform for Apple infrastructure and security platform worldwide. Its products include Jamf Connect that streamlines Mac authentication and identity management; Jamf Pro, an enterprise mobility management tool that empowers IT pros and the users they support by delivering unified endpoint management for Apple devices; Jamf Now, a cloud-based MDM solution for the iPad, iPhone and Mac devices in workplace; Jamf School, a mobile device management for schools; and Jamf Protect, an endpoint security purpose built for Mac. The company also offers Jamf Nation, an online community of IT professionals focusing on Apple in the enterprise. It serves organizations, including businesses, hospitals, schools, and government agencies. The company sells its Software as a Service solutions via a subscription model, through a direct sales force, online, and indirectly via channel partners, including Apple. Jamf Holding Corp. was founded in 2002 and is headquartered in Minneapolis, Minnesota."
CDNA,quote_summary,"CareDx, Inc.",21698000,275820992,0.416,-0.06306,0.555844,45.055,USD,Diagnostics & Research,Healthcare,United States,"CareDx, Inc. discovers, develops, and commercializes diagnostic solutions for transplant patients and caregivers worldwide. It offers AlloSure Kidney, a donor-derived cell-free DNA (dd-cfDNA) solution for kidney transplant patients; AlloMap Heart, a gene expression solution for heart transplant patients; and AlloSure Heart, a dd-cfDNA test to identify underlying cell injury leading to organ rejection. The company offers Olerup SSP, which is used to type human leukocyte antigen (HLA) alleles based on sequence specific primer technology; Olerup SBT, a product range for sequence-based typing of HLA alleles; QTYPE that enables precision; and TruSight HLA, a next generation sequencing (NGS) based high resolution typing solution. In addition, it provides AlloSeq Tx, a high-resolution HLA typing solution; AlloSeq cfDNA, a surveillance solution to measure dd-cfDNA in blood; AlloSeq HCT, a solution for chimerism testing for stem cell transplant recipients; Ottr, a transplant patient tracking software; and XynQAPI transplant quality tracking and waitlist management solutions, as well as AlloCare, a mobile app that offers a patient-centric resource for transplant recipients. The company offers its products directly to customers, as well as through third-party distributors. CareDx, Inc. has a license agreement with Illumina, Inc. for the distribution, development, and commercialization of NGS products and technologies; and Cibiltech SAS to commercialize KidneyCare iBox, a software for the predictive analysis of post-transplantation kidney allograft loss. It also has a collaborative research agreement with Eledon Pharmaceuticals, Inc. to use AlloSure for assessing the efficacy of Eledon's investigational AT-1501 in the prevention of rejection in upcoming renal transplantation trials. The company was formerly known as XDx, Inc. and changed its name to CareDx, Inc. in March 2014. CareDx, Inc. was incorporated in 1998 and is headquartered in South San Francisco, California."
MD,quote_summary,"Mednax, Inc.",1055267008,1739458944,0.012,0.1012,2.145652,27.65,USD,Medical Care Facilities,Healthcare,United States,"MEDNAX, Inc., together with its subsidiaries, provides newborn, maternal-fetal, pediatric cardiology, and other pediatric subspecialty care services in the United States and Puerto Rico. It offers neonatal care services, such as clinical care to babies born prematurely or with complications within specific units at hospitals through neonatal physician subspecialists, neonatal nurse practitioners, and other pediatric clinicians. The company also provides maternal-fetal care services, including inpatient and office-based clinical care to expectant mothers and unborn babies through affiliated maternal-fetal medicine subspecialists, as well as obstetricians and other clinicians, including maternal-fetal nurse practitioners, certified nurse mid-wives, ultrasonographers, and genetic counselors. In addition, it offers pediatric cardiology care services comprising inpatient and office-based pediatric cardiology care of the fetus, infant, child, and adolescent patient with congenital heart defects and acquired heart disease, as well as adults with congenital heart defects through affiliated pediatric cardiologist subspecialists and other related clinical professionals; and specialized cardiac care to the fetus, neonatal and pediatric patients. Further, the company provides other pediatric subspecialty care services through pediatric subspecialists, such as pediatric intensivists, pediatric hospitalists, pediatric surgeons, and pediatric ophthalmologists, as well as pediatric ear, nose, and throat physicians; and support services in the areas of hospitals, primarily in the pediatric emergency rooms, labor and delivery areas, and nursery and pediatric departments. As of March 16, 2021, it operated a network of approximately 2,300 physicians. The company was founded in 1979 and is based in Sunrise, Florida."
CNS,quote_summary,Cohen & Steers Inc,29202000,540662976,0.387,0.31157,1.271957,89.75,USD,Asset Management,Financial Services,United States,"Cohen & Steers, Inc. is a publicly owned asset management holding company. Through its subsidiaries, the firm provides its services to institutional investors, including pension funds, endowments, and foundations. It manages separate client-focused equity, fixed income, multi-asset, and commodity portfolios through its subsidiaries. The firm launches and manages equity, fixed income, balanced, and multi-asset mutual funds through its subsidiaries. Through its subsidiaries, it also launches and manages hedge funds. The firm invests in public equity, fixed income, and commodity markets across the globe through its subsidiaries. Through its subsidiaries, it invests in companies operating in the real estate sector, including real estate investment trusts, infrastructure sector, and natural energy resources sector for its equity and fixed income investments. The firm also invests in preferred securities for its fixed income investments through its subsidiaries. Cohen & Steers, Inc. was founded in 1986 and is based in New York, with additional offices in London, United Kingdom; Central, Hong Kong; Tokyo, Japan; and Seattle, Washington."
CDXS,quote_summary,"Codexis, Inc.",23000000,101286000,1,-0.1603,1.592727,33.115,USD,Biotechnology,Healthcare,United States,"Codexis, Inc. discovers, develops, and sells biocatalysts. It offers intermediate chemicals products that are used for further chemical processing; and Codex biocatalyst panels and kits that enable customers to perform chemistry screening. The company also provides biocatalyst screening and protein engineering services. In addition, it offers CodeEvolver protein engineering technology platform, which helps in developing and delivering biocatalysts that perform chemical transformations. The company's platform is used to discover novel biotherapeutic drug candidates for targeted human diseases, as well as for molecular biology and in vitro diagnostic enzymes. Its platform also enhances the pharmaceuticals companies manufacturing productivity and efficiency or outsourcing the manufacture of the intermediates and active pharmaceutical ingredients. The company sells its products to pharmaceutical manufacturers through its direct sales and business development force in the United States and Europe. Codexis, Inc. was founded in 2002 and is headquartered in Redwood City, California."
UE,quote_summary,Urban Edge Properties,1646774016,383784000,0.409,0.25261,1.676363,18.32,USD,REIT—Diversified,Real Estate,United States,"Urban Edge Properties is a NYSE listed real estate investment trust focused on managing, acquiring, developing, and redeveloping retail real estate in urban communities, primarily in the New York metropolitan region. Urban Edge owns 78 properties totaling 15.1 million square feet of gross leasable area."
